,doc,page,min,max,year,pos,len,blocks_on_page,group
268,Economics-1955-0,23,0.77808219,0.86066538,1955.0,center,0.08258319000000003,10,E5
269,Economics-1955-0,23,0.8614481700000001,0.86888456,1955.0,center,0.007436389999999959,10,E5
270,Economics-1955-0,23,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,10,E5
271,Economics-1955-0,23,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,10,E5
272,Economics-1955-0,24,0.065753423,0.082974561,1955.0,top,0.017221137999999997,8,E5
273,Economics-1955-0,24,0.070450097,0.078669272,1955.0,top,0.008219174999999995,8,E5
274,Economics-1955-0,24,0.070450097,0.08062622,1955.0,top,0.010176122999999995,8,E5
275,Economics-1955-0,24,0.098630138,0.38356164,1955.0,center,0.28493150199999995,8,E5
276,Economics-1955-0,24,0.38708416,0.79882586,1955.0,center,0.4117417,8,E5
277,Economics-1955-0,24,0.80234832,0.8708414999999999,1955.0,center,0.06849317999999993,8,E5
278,Economics-1955-0,24,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,8,E5
279,Economics-1955-0,24,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,8,E5
280,Economics-1955-0,25,0.067318983,0.08219178,1955.0,top,0.014872797000000007,7,E5
281,Economics-1955-0,25,0.096673191,0.20313111,1955.0,center,0.106457919,7,E5
282,Economics-1955-0,25,0.20469667,0.34559688,1955.0,center,0.14090021,7,E5
283,Economics-1955-0,25,0.34951076000000003,0.6720156700000001,1955.0,center,0.32250491000000003,7,E5
284,Economics-1955-0,25,0.67358124,0.8727984400000001,1955.0,center,0.1992172000000001,7,E5
285,Economics-1955-0,25,0.91780823,0.9268101999999999,1955.0,btm,0.009001969999999915,7,E5
286,Economics-1955-0,25,0.9299413,0.95225048,1955.0,btm,0.02230918000000004,7,E5
287,Economics-1955-0,26,0.07201565800000001,0.07984344700000001,1955.0,top,0.007827789000000002,7,E5
288,Economics-1955-0,26,0.070450097,0.08062622,1955.0,top,0.010176122999999995,7,E5
